date,donations,is_holiday,holiday_name,is_outlier,is_mco
2007-02-23,418,0,Non-Holiday,0,0
2007-02-24,1418,0,Non-Holiday,0,0
2007-02-25,385,0,Non-Holiday,0,0
2007-02-26,643,0,Non-Holiday,0,0
2007-02-27,668,0,Non-Holiday,0,0
2007-02-28,1582,0,Non-Holiday,0,0
2007-03-01,886,0,Non-Holiday,0,0
2007-03-02,440,0,Non-Holiday,0,0
2007-03-03,273,0,Non-Holiday,0,0
2007-03-04,327,0,Non-Holiday,0,0
2007-03-05,705,0,Non-Holiday,0,0
2007-03-06,1327,0,Non-Holiday,0,0
2007-03-07,880,0,Non-Holiday,0,0
2007-03-08,994,0,Non-Holiday,0,0
2007-03-09,816,0,Non-Holiday,0,0
2007-03-10,573,0,Non-Holiday,0,0
2007-03-11,692,0,Non-Holiday,0,0
2007-03-12,628,0,Non-Holiday,0,0
2007-03-13,722,0,Non-Holiday,0,0
2007-03-14,823,0,Non-Holiday,0,0
2007-03-15,729,0,Non-Holiday,0,0
2007-03-16,316,0,Non-Holiday,0,0
2007-03-17,401,0,Non-Holiday,0,0
2007-03-18,792,0,Non-Holiday,0,0
2007-03-19,348,0,Non-Holiday,0,0
2007-03-20,401,0,Non-Holiday,0,0
2007-03-21,696,0,Non-Holiday,0,0
2007-03-22,1209,0,Non-Holiday,0,0
2007-03-23,762,0,Non-Holiday,0,0
2007-03-24,904,0,Non-Holiday,0,0
2007-03-25,1365,0,Non-Holiday,0,0
2007-03-26,522,0,Non-Holiday,0,0
2007-03-27,919,0,Non-Holiday,0,0
2007-03-28,1307,0,Non-Holiday,0,0
2007-03-29,1188,0,Non-Holiday,0,0
2007-03-30,805,0,Non-Holiday,0,0
2007-03-31,262,0,Non-Holiday,0,0
2007-04-01,557,0,Non-Holiday,0,0
2007-04-02,240,0,Non-Holiday,0,0
2007-04-03,706,0,Non-Holiday,0,0
2007-04-04,901,0,Non-Holiday,0,0
2007-04-05,982,0,Non-Holiday,0,0
2007-04-06,482,0,Non-Holiday,0,0
2007-04-07,855,0,Non-Holiday,0,0
2007-04-08,1176,0,Non-Holiday,0,0
2007-04-09,381,0,Non-Holiday,0,0
2007-04-10,821,0,Non-Holiday,0,0
2007-04-11,377,0,Non-Holiday,0,0
2007-04-12,506,0,Non-Holiday,0,0
2007-04-13,462,0,Non-Holiday,0,0
2007-04-14,581,0,Non-Holiday,0,0
2007-04-15,887,0,Non-Holiday,0,0
2007-04-16,330,0,Non-Holiday,0,0
2007-04-17,752,0,Non-Holiday,0,0
2007-04-18,855,0,Non-Holiday,0,0
2007-04-19,980,0,Non-Holiday,0,0
2007-04-20,306,0,Non-Holiday,0,0
2007-04-21,458,0,Non-Holiday,0,0
2007-04-22,1391,0,Non-Holiday,0,0
2007-04-23,498,0,Non-Holiday,0,0
2007-04-24,467,0,Non-Holiday,0,0
2007-04-25,1102,0,Non-Holiday,0,0
2007-04-26,47,0,Non-Holiday,0,0
2007-04-27,313,0,Non-Holiday,0,0
2007-04-28,703,0,Non-Holiday,0,0
2007-04-29,1567,0,Non-Holiday,0,0
2007-04-30,506,0,Non-Holiday,0,0
2007-05-01,1773,1,wesak_day,0,0
2007-05-02,19,0,Non-Holiday,0,0
2007-05-03,304,0,Non-Holiday,0,0
2007-05-04,433,0,Non-Holiday,0,0
2007-05-05,815,0,Non-Holiday,0,0
2007-05-06,778,0,Non-Holiday,0,0
2007-05-07,421,0,Non-Holiday,0,0
2007-05-08,500,0,Non-Holiday,0,0
2007-05-09,873,0,Non-Holiday,0,0
2007-05-10,1162,0,Non-Holiday,0,0
2007-05-11,333,0,Non-Holiday,0,0
